Oligo-ID,Gene symbols,Entrez gene IDs,RefSeq IDs,Gene IDs,Transcript IDs
A_23_P208779,EPS8L1,EPS8L1,NM_133180.2; NM_017729.3,ENSG00000262430; ENSG00000262878; ENSG00000262225; ENSG00000262467; ENSG00000262835; ENSG00000262287; ENSG00000262092; ENSG00000263295; ENSG00000270836; ENSG00000131037,ENST00000589587; ENST00000588663; ENST00000590590; ENST00000589062; ENST00000572411; ENST00000571375; ENST00000572335; ENST00000591543; ENST00000589320; ENST00000590725; ENST00000585717; ENST00000591525; ENST00000574553; ENST00000575215; ENST00000574658; ENST00000593221;  ENST00000586964; ENST00000589013; ENST00000588669; ENST00000585997; ENST00000571441; ENST00000575966; ENST00000574541; ENST00000588293; ENST00000589423; ENST00000587931; ENST00000585772; ENST00000590405; ENST00000573454; ENST00000576308; ENST00000575092; ENST00000587643; ENST00000591672; ENST00000588309; ENST00000585723; ENST00000592736; ENST00000576005; ENST00000575720; ENST00000577025; ENST00000592856; ENST00000585637; ENST00000590272; ENST00000590904; ENST00000590109; ENST00000571474; ENST00000575138; ENST00000576261; ENST00000589832; ENST00000587553; ENST00000588243; ENST00000590547; ENST00000587897; ENST00000573442; ENST00000571582; ENST00000570966; ENST00000588252; ENST00000591876; ENST00000585586; ENST00000592402; ENST00000592301; ENST00000572780; ENST00000574843; ENST00000572133; ENST00000590429; ENST00000603204; ENST00000605171; ENST00000603092; ENST00000604118; ENST00000603724; ENST00000602995; ENST00000604610; ENST00000604540; ENST00000587715; ENST00000587901; ENST00000589362; ENST00000592102; ENST00000245618; ENST00000540810; ENST00000201647; ENST00000586329
A_23_P211627,EPS8L1,EPS8L1,NM_007172.3; NM_153645.2,ENSG00000219682,ENST00000509438; ENST00000405676; ENST00000425733; ENST00000469163; ENST00000396096; ENST00000407019; ENST00000347635; ENST00000556933
A_23_P96325,ERCC6L,ERCC6L,NM_017669.2,ENSG00000186871,ENST00000334463; ENST00000373657
A_23_P397969,FOXK2,FOXK2,NM_004514.3,ENSG00000141568,ENST00000576131; ENST00000529652; ENST00000335255; ENST00000473637
Hs59368.1,FOXP1,FOXP1, NM_001012505.1; NM_032682.5; NM_001244815.1; NM_001244813.1; NM_001244810.1; NM_001244816.1; NM_001244814.1; NM_001244812.1; NM_001244808.1,,
A_23_P34093,G6PD,G6PD,NM_000402.3; NM_001042351.1,ENSG00000269087,ENST00000595441; ENST00000593787; ENST00000594771; ENST00000369620; ENST00000393564; ENST00000393562
A_23_P118246,GINS2,GINS2,NM_016095.2,ENSG00000131153,ENST00000253462
A_23_P12884,GRK5,GRK5,NM_005308,ENSG00000198873,
A_24_P79712,HNRNPU-AS1; COX20,HNRNPU-AS1; COX20,NM_198076.4,ENSG00000188206,ENST00000366527; ENST00000498262; ENST00000411948
A_32_P156786,HRK,HRK,NM_003806.2,ENSG00000135116,ENST00000257572
A_32_P169847,HRK,HRK,,ENSG00000250303,ENST00000527511
A_32_P170454,HRK,HRK,NM_003806.2,ENSG00000135116,ENST00000257572
A_23_P422911,HS6ST3,HS6ST3,NM_153456,ENSG00000185352,
A_23_P48070,ING4,ING4,NM_001127582.1; NM_001127585.1; NM_001127586.1; NM_016162.3; NM_001127583.1; NM_001127584.1,ENSG00000111653,ENST00000484795; ENST00000486287; ENST00000446105; ENST00000396807; ENST00000341550
A_23_P50674,IZUMO4,IZUMO4,NM_001039846.1; NM_001031735.2,ENSG00000099840,ENST00000395296; ENST00000300960; ENST00000588003; ENST00000591894; ENST00000590985; ENST00000498554; ENST00000395301; ENST00000478879; ENST00000497445; ENST00000395307; ENST00000481489
A_23_P410965,KIAA1522,KIAA1522,NM_020888.2; NM_001198973.1; NM_001198972.1,ENSG00000162522,ENST00000373480; ENST00000373481; ENST00000401073
A_23_P342910,KLHL15,KLHL15,NM_030624.2,ENSG00000174010,ENST00000328046
A_32_P40437,KLRK1,KLRC4-KLRK1; KLRK1,NM_001199805.1; NM_007360.3,ENSG00000245648; ENSG00000255819; ENSG00000213809,
